__FALSE__2 , 	If theres a government shutdown, people dont get their Social Security checks.	federal-budget,social-security	barack-obama	President	Illinois	democrat	a press conference
__FALSE__2 , 	Says Ovide Lamontagne wants to eliminate kindergarten.	education	new-hampshire-democratic-party		New Hampshire	democrat	a campaign mailer to New Hampshire residents 
__FALSE__2 , 	It took Obama six months to pick out a family dog, but he's cramming health care reform down the country's throat in a fraction of that time.	health-care	haley-barbour	Governor	Mississippi	republican	an op-ed in the Washington Examiner
__FALSE__2 , 	During my administration, for example, we boosted U.S. exports to Canada and Mexico by about 50 percent. That supports about 2.8 million American jobs.	trade	barack-obama	President	Illinois	democrat	a press conference at the North American Leaders Summit
__FALSE__2 , 	If you shut down Amtraks Northeast Corridor, its estimated youd have to add seven new lanes to I-95 to accommodate the increased traffic.	census,transportation	joe-biden	U.S. senator	Delaware	democrat	a speech in Philadelphia
__FALSE__2 , 	Says Hillary Clinton wantsillegal immigrants collectingSocial Security benefits.	economy,immigration,retirement,social-security	donald-trump	President-Elect	New York	republican	a campaign ad
__FALSE__2 , 	Rep. Carol Shea-Porter votes with Nancy Pelosis Democrats 95 percent of the time, but Frank Guinta will take on both parties and has independent New Hampshire values.	voting-record	national-republican-congressional-committee			republican	an ad
__FALSE__2 , 	You are prohibited from walking into the Capitol with a gun, but you can go after the County Commission or the School Board.	government-regulation,guns	jim-waldman	state representative	Florida	democrat	a news blog
__FALSE__2 , 	Of all the illegals in America, more than half come through Arizona.	immigration,message-machine	john-mccain	U.S. senator	Arizona	republican	a campaign ad
__FALSE__2 , 	Says unsuccessful Texas abortion legislation was supported by a majority of Texans.	abortion,polls	jerry-patterson	state land commissioner	Texas	republican	an email blast.
__FALSE__2 , 	Says Did you know that the #KeystoneXL project is expected to create 20,000 American jobs, including more than 800 in Oregon?	climate-change,energy,environment,jobs,workers	greg-walden	U.S. representative	Oregon	republican	a Tweet
__FALSE__2 , 	Says that 93 percent of the time John Boccieri voted with Nancy Pelosi.	message-machine,voting-record	national-republican-congressional-committee			republican	a television election ad
__FALSE__2 , 	Says Paul Ryan shut off the C-SPAN cameras when the Democrats started their sit-in.	government-regulation,guns,history,public-safety,pundits	stephen-colbert			none	a comedy sketch
__FALSE__2 , 	David Jolly has used money and power to try to drill off our beaches.	candidates-biography	charlie-crist		Florida	democrat	a fundraising email
__FALSE__2 , 	Says State Comptroller Matthew Boxer pointed out that many towns are artificially lowering the real estate values that they report to Trenton in order to get hundreds of millions of dollars of additional school aid. This is the kind of fraud that needs to be addressed immediately.	education,taxes	michael-doherty			republican	an interview on NJToday
__FALSE__2 , 	Obama is the Senate's "most liberal."	candidates-biography	john-mccain	U.S. senator	Arizona	republican	a TV ad
__FALSE__2 , 	U.S. Olympic medal winners will owe up to $9,000 to the IRS.	sports,taxes	americans-tax-reform			none	a blog post
__FALSE__2 , 	I have not insulted Donald personally.	candidates-biography	ted-cruz	Senator	Texas	republican	comments during the Iowa Republican presidential debate
__FALSE__2 , 	In recent years, menhaden numbers along our coast have plummeted by 90 percent.	animals,economy,environment,market-regulation	pew-environment-group			organization	a newspaper advertisement
__FALSE__2 , 	Tim Kaine made Virginia the best state for business four years in a row.	job-accomplishments	majority-pac			democrat	a TV ad.
__FALSE__2 , 	During his 18-year Senate career, (Russ Feingold) supported judges who voted to deny your individual Second Amendment right. (He) promises to protect those rights, but thats not what his record shows.	guns	ron-johnson		Wisconsin	republican	a TV ad
__FALSE__2 , 	Says Gov. Rick Perrys administration has proposed ending immunizations for 113,000 kids.	children,health-care,state-budget	mike-villarreal	Small business owner	Texas	democrat	a press release
__FALSE__2 , 	Days after the (Osama bin Laden) raid, Hollywood was invited into the White House so that they could receive a briefing that revealed intelligence sources and methods.	foreign-policy,message-machine-2012,military,terrorism	special-operations-opsec-education-fund			none	a Web video
__FALSE__2 , 	In barely four years in office, five jihadists have reached their targets in the United States under Barack Obama, compared to zero in over seven years after 9/11 under George W. Bush.	terrorism	tom-cotton	U.S. House of Representatives	Arkansas	republican	a House floor speech
__FALSE__2 , 	Says he has nearly 200 delegates bound to support his candidacy at the Republican National Convention.	candidates-biography	ron-paul	U.S. representative	Texas	republican	an online message to supporters.
__FALSE__2 , 	During the Bush administration, liberal groups were targeted by the IRS, similar to recent targeting.	bush-administration,taxes	jim-mcdermott	U.S. Representative	Washington state	democrat	a House Ways and Means hearing
__FALSE__2 , 	We're also cutting a Forest Service economic development program that strayed so far from any mission that it funded a music festival.	federal-budget	barack-obama	President	Illinois	democrat	remarks on the budget
__FALSE__2 , 	Gasoline would rise in price by approximately 50 cents a gallon if the McCain-Lieberman bill became law.	energy	mitt-romney	Former governor	Massachusetts	republican	West Palm Beach, Fla.
__FALSE__2 , 	The board of a nonprofit organization on which Obama served as a paid director ... granted funding to a controversial Arab group.	israel	tennessee-republican-party		Tennessee	republican	a news release
__FALSE__2 , 	Rob Teilhet, Just another career politician.	public-service	ken-hodges	Dougherty County District Attorney	Georgia	democrat	a campaign flier
__FALSE__2 , 	Says Mike Coffman said two different things: stop the deportationsin a Spanish-language debate and youre going to be deportedin an English-language TV interview.	immigration	morgan-carroll	Colorado State Senator 	Colorado	democrat	a news release
__FALSE__2 , 	Whats clear is (Romney) likes firing people.	candidates-biography,economy,jobs	jon-huntsman		Utah	republican	comments to reporters in Concord, N.H.
__FALSE__2 , 	Democrat Stephen Webber voted to allow sex offenders to be within 500 feet of childcare centers and playgrounds, and even voted to allow sex offenders to be coaches.	candidates-biography,children,crime	caleb-rowden	State representative	Missouri	republican	a YouTube video
__FALSE__2 , 	According to the nonpartisan Congressional Budget Office, the IRS would need to hire over 16,000 people ... to audit the American people and impose the new taxes and mandates of the health care bill.	federal-budget,health-care,taxes	mark-kirk	U.S. Senator	Illinois	republican	a floor speech in the House
__FALSE__2 , 	Keystone XL allows Canada to pump their oil, send it through our land, down to the Gulf, where it will be sold everywhere else.	energy,gas-prices	barack-obama	President	Illinois	democrat	a press conference in Burma
__FALSE__2 , 	We know this now. The banks no longer loan (Donald Trump) money because hes a terrible risk. So he goes to these (Russian) oligarchs and borrows money.	corrections-and-updates,economy,history,income,job-accomplishments,transparency,wealth	anthony-weiner		New York	democrat	an appearance on HBO's "Real Time with Bill Maher"
__FALSE__2 , 	The Health Care and Education Reconciliation Act is the largest-ever investment in higher education.	education,federal-budget	democratic-national-committee			none	a press release.
__FALSE__2 , 	Says that politicians who approved collective bargaining restrictions for public employees exploited a loophole exempting themselves from Senate Bill 5.	elections,jobs,labor,unions	we-are-ohio		Ohio	none	a campaign commercial
__FALSE__2 , 	Two weeks after signing a taxpayer protection pledge, (Charlie Crist) breaks it.	public-health,state-budget,taxes	republican-party-florida			republican	a Web ad
__FALSE__2 , 	Over the time that President Obama has been in office, we have lost 2.5 million free enterprise system jobs, and, yet, 500,000 federal government jobs have been added.	economy	pete-sessions	U.S. House representative	Texas	republican	a speech in the U.S. House
__FALSE__2 , 	Brock Turners early release will be a regular occurrence if Prop. 57 passes.	crime,criminal-justice	stop-57-campaign		California	organization	a campaign press release.
__FALSE__2 , 	As a state representative, David Cicilline argued against Megans Law and voted against mandatory registration of sex offenders.	children,criminal-justice,campaign-advertising,voting-record	americans-commonsense-solutions			none	a radio ad
__FALSE__2 , 	The New START treaty was passed despite significant concerns among some people in the State and Defense Departments.	military,nuclear	bill-janis	lawyer	Virginia	republican	a floor speech in the House of Delegates.
__FALSE__2 , 	In Milwaukee County, juveniles arrested for car theft get sent immediately home, because under the point system in juvenile court on holding suspects, a stolen car gets zero points.	children,crime,criminal-justice,legal-issues,transportation,urban	edward-flynn			none	a forum
__FALSE__2 , 	You dont have to be as smart as a fifth-grader to know what causes the climate is the sun. The sun. I have people tell me, Carbon dioxide warms the Earth. No, it doesnt. The sun warms the Earth.	climate-change,weather	don-zimmerman	Computer systems	Texas	republican	an Austin City Council briefing
__FALSE__2 , 	Says a new report shows the devastating tax hikes (in the health care law) will have on middle-class Kentuckians.	health-care,taxes	mitch-mcconnell	Senate minority leader	Kentucky	republican	a press release
__FALSE__2 , 	Under Barack Obama, the average cost of family health care premiums has increased by $4,154.	children,families,government-regulation,health-care	scott-walker	Milwaukee County Executive	Wisconsin	republican	a tweet
__FALSE__2 , 	Kids coming from an affluent background are taking advantage of all these student loan programs and grants while many middle-class families with no connection to college are picking up the tab.	education,federal-budget	ron-johnson		Wisconsin	republican	statement at a town hall meeting
__FALSE__2 , 	John McCain worries about nuclear waste in Arizona, but not in Nevada.	energy	barack-obama	President	Illinois	democrat	a television ad
__FALSE__2 , 	With Obamacare, were fixing to get hit with the biggest entitlement program the American taxpayers have ever seen.	federal-budget,health-care	saxby-chambliss	U.S. Senator	Georgia	republican	a discussion on CNN's "Crossfire"
__FALSE__2 , 	A judge took the Star Scientific tax case away from Ken Cuccinelli	ethics,legal-issues	terry-mcauliffe	Governor	Virginia	democrat	debate
__FALSE__2 , 	Theres a tremendous other number of public officials who have done the same thing as Hillary Clinton with a private email server.	technology,transparency	howard-dean	Democratic National Committee chairman	Vermont	democrat	an interview on "Morning Joe"
__FALSE__2 , 	The Obama administration spent $205,075 in stimulus funds to relocate a shrub that sells for $16.	economy,stimulus	ted-cruz	Senator	Texas	republican	a report
__FALSE__2 , 	In 2012, the state put together a list of over 100,000 people that they thought were ineligible to vote. Came out there were less than 10.	elections	charlie-crist		Florida	democrat	a speech to Louisiana Democrats
__FALSE__2 , 	Stopped by Smiley Cookie to pick up some great cookies for the family, along with Rudy.	food	donald-trump	President-Elect	New York	republican	a Facebook post.
__FALSE__2 , 	The Supreme Courts views are radically out of step with public opinion regarding its decision to legalize same-sex marriage nationwide.	gays-and-lesbians,polls,supreme-court	ted-cruz	Senator	Texas	republican	an interview on NPR
__FALSE__2 , 	Health care reform legislation is likely to mandate free sex change surgeries.	health-care	blog-posting			none	a news release
__FALSE__2 , 	When Mitt Romney was governor of Massachusetts, we didnt just slow the rate of growth of our government, we actually cut it.	history,state-budget	mitt-romney	Former governor	Massachusetts	republican	an interview with CBN News
__FALSE__2 , 	Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor.	economy,income	dennis-richardson	state representative	Oregon	republican	a campaign debate
__FALSE__2 , 	I dont know who (Jonathan Gruber) is.	health-care	nancy-pelosi	House Minority Leader	California	democrat	a news conference
__FALSE__2 , 	ISIS supporter tweeted at 10:34 a.m. Shooting began at 10:45 a.m. in Chattanooga, Tenn.	technology,terrorism	pamela-geller	President of American Freedom Defense Intitiative	New York	activist	a tweet 
__FALSE__2 , 	What (the Obama administration is) going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants.	climate-change,energy,environment,government-regulation	shelley-moore-capito	U.S. House of Representative	West Virginia	republican	a campaign ad
__FALSE__2 , 	Says a U.S. Supreme Court justice suggested that some U.S. cases will be decided based on South African law.	legal-issues,supreme-court	marco-rubio	U.S. Senator	Florida	republican	a speech at the CPAC conference
__FALSE__2 , 	We have a director of homeland security who cannot use and will not use the term 'terrorist attack' but instead substitutes 'man-made disaster.' 	homeland-security,terrorism	jerry-patterson	state land commissioner	Texas	republican	a speech at the Texas Republican Party Convention
__FALSE__2 , 	President Barack Obama took exactly none of his own deficit reduction commissions ideas. Not one.	deficit,federal-budget	john-boehner	Speaker of the House of Representatives	Ohio	republican	an interview with ABC news
__FALSE__2 , 	Says Terry McAuliffe is the person who invented the scheme to rent out the Lincoln Bedroom.	campaign-finance,ethics,history	ken-cuccinelli	Attorney General	Virginia	republican	a speech.
__FALSE__2 , 	Sen. Obama's campaign announced that he's choosing his cabinet.	elections	john-mccain	U.S. senator	Arizona	republican	a rally in Bensalem, Pa.
__FALSE__2 , 	Only 2 percent of public high schools in the country offer PE classes.	education,health-care	michelle-obama		Illinois	democrat	an interview with NPR
__FALSE__2 , 	Under Mayor Cicilline, [Providence] was a sanctuary city.	history,homeland-security,immigration,legal-issues,pundits	john-depetro	Talk-show host	Rhode Island	talk-show-host	a statement on WPRO-AM
__FALSE__2 , 	Says the man who rushed the stage at him in Dayton, Ohio, had chatter about ISIS, or with ISIS in his social media posts.	civil-rights,elections,terrorism	donald-trump	President-Elect	New York	republican	an interview on "Meet the Press"
__FALSE__2 , 	On whether a U.S. Supreme Court nominee should be forthcoming at confirmation hearings.	kagan-nomination,supreme-court	elena-kagan	U.S. solicitor general	New York	democrat	a law review article
__FALSE__2 , 	Says Charlie Crist supports cuts to the Medicare Advantage program.	health-care,medicare	republican-party-florida			republican	a Facebook post
__FALSE__2 , 	In the past 20 years, Egypt has made great strides in political and democratic reform.	foreign-policy,abc-news-week	sameh-shoukry			none	an interview on ABC's "This Week with Christiane Amanpour."
__FALSE__2 , 	The amount of attention paid this week to Chris Christie makes the coverage of Benghazi ... pale in significance.	terrorism,transportation	karl-rove		Texas	republican	comments on "Fox News Sunday"
__FALSE__2 , 	Austin is burdened by the fastest-growing tax increases of any major city in the nation.	city-budget,city-government,taxes	jim-skaggs	Treasurer, Citizens Against Rail Taxes	Texas	none	as quoted in a news story
__FALSE__2 , 	Phoenix, Arizona, is the No. 2 kidnapping capital of the world.	immigration	john-mccain	U.S. senator	Arizona	republican	comments on 'Meet the Press'
__FALSE__2 , 	The Florida Department of Agricultures website FreshFromFlorida.com can be used to get a permit to carry a loaded hidden gun without ever leaving your house.	guns	brady-campaign-prevent-gun-violence			none	a congressional briefing
__FALSE__2 , 	NATO is opening up a major terror division. ... Im sure Im not going to get credit for it, but that was largely because of what I was saying and my criticism of NATO.	foreign-policy,military,terrorism	donald-trump	President-Elect	New York	republican	a presidential debate at Hofstra University
__FALSE__2 , 	Of our 98,000 teachers who are K-12, over 53,000 of those teachers today are over 50 years old.	education,retirement	terry-mcauliffe	Governor	Virginia	democrat	a speech.
__FALSE__2 , 	About half of the presidents have been governors; half of them, senators.	congress,corrections-and-updates,elections,history,states	ted-cruz	Senator	Texas	republican	remarks in New Hampshire
__FALSE__2 , 	The Air Force wants taxpayers to fund a fantasy football league.	families,federal-budget,military	blog-posting			none	blog posts
__FALSE__2 , 	SaysMichael Bennet wants to close Guantanamo Bay prisonand bring terrorists right here to Colorado.	congress,terrorism	jon-keyser		Colorado	republican	a candidate forum 
__FALSE__2 , 	Mr. Caprio is a career politician who has never worked in the private sector.	candidates-biography	john-robitaille		Rhode Island	republican	a campaign news release
__FALSE__2 , 	Barack Obama has never even worked in business.	candidates-biography	rob-portman	U.S. senator from Ohio	Ohio	republican	a speech at the Republican National Convention in Tampa
__FALSE__2 , 	Says Gov. Rick Perry has been begging for the federal government to send the Coast Guard to patrol two lakes on the U.S.-Mexico border.	crime,immigration	louie-gohmert	U.S. House member	Texas	republican	a radio interview.
__FALSE__2 , 	In 2005, Dan Branch tried to expand third-trimester abortions in Texas.	abortion,corrections-and-updates	texas-right-life		Texas	none	an email blast
__FALSE__2 , 	Im the only one whos fought against developers draining the Everglades!	environment,message-machine	kendrick-meek		Florida	democrat	a television ad
__FALSE__2 , 	We have more illegal immigrants here than we did five years ago.	immigration	marco-rubio	U.S. Senator	Florida	republican	an interview on NBC's "Meet the Press"
__FALSE__2 , 	The U.S. Patent and Trademark Office received zero complaints about the Washington Redskins name.	sports	blog-posting			none	blog posts
__FALSE__2 , 	Says Thomas Eric Duncan came into the United States with an elevated temperature.	ebola,health-care,public-health,transportation	darrell-issa	U.S. House of Representatives	California	republican	comments on CNN's "State of the Union"
__FALSE__2 , 	There are more oil rigs in operation in the United States than the rest of the world combined.	corporations,debt,economy,energy,environment,federal-budget,gas-prices,government-regulation,infrastructure	david-cicilline	mayor of Providence	Rhode Island	democrat	a debate
__FALSE__2 , 	The Obama administration shut down the Amber Alert program because of the government shutdown.	children,crime,federal-budget	tweets			none	messages on Twitter
__FALSE__2 , 	Under the Cash for Clunkers program, all we've got to do is ... go to a local junkyard, all you've got to do is tow it to your house. And you're going to get $4,500.	pundits,transportation	sean-hannity	Radio/TV host		none	a Fox News interview
__FALSE__2 , 	Not one Republican has the guts to recognize that climate change is real.	cap-and-trade,climate-change,debates,economy,energy,environment,government-regulation,jobs,campaign-advertising,polls,public-safety	bernie-s	U.S. Senator	Vermont	independent	a Democratic debate in New Hampshire
__FALSE__2 , 	In the last five years, 28,000 people have been killed along the U.S.-Mexico border.	crime,homeland-security,immigration	lamar-smith	Congressman	Texas	republican	a news release
__FALSE__2 , 	Says Obama health reform law denies millions access to affordable insurance.	health-care,workers	eric-hovde			republican	a blog post
__FALSE__2 , 	Close to 30% of our federal prison population consists of illegal immigrants.	immigration	daniel-mielke	Farmer	Wisconsin	republican	a statement on campaign web site
__FALSE__2 , 	Says Rick Scott called education not a core function of the state.	education,state-budget	florida-democratic-party		Florida	democrat	a press release
__FALSE__2 , 	The Family Research Council, according to some government agencies, is a terrorist group.	terrorism	ben-carson			republican	an interview on CNN
__FALSE__2 , 	Obamacare is the biggest tax increase in American history.	corrections-and-updates,federal-budget,health-care,taxes	mark-neumann	Developer and homebuilder	Wisconsin	republican	an interview
__FALSE__2 , 	Josh Mandel is lying about his own record. The rating of Ohios investment fund has NOT improved.	job-accomplishments,message-machine-2012,state-finances	sherrod-brown	U.S. Senator	Ohio	democrat	a campaign commercial
__FALSE__2 , 	Providences port is 200 miles closer to Europe than any other Eastern port.	economy,infrastructure,trade,transportation	james-bennett	director, Department of Economic Development, Providence, R.I.	Rhode Island	newsmaker	a news conference
__FALSE__2 , 	We now have driven (health care) costs down to the lowest theyve been in 50 years.	health-care	hillary-clinton	Presidential candidate	New York	democrat	comments during the South Carolina Democratic presidential debate
__FALSE__2 , 	Twelve judges have thrown out legal challenges to the health care law because they rejected the notion that the health care law was unconstitutional.	health-care,supreme-court	barack-obama	President	Illinois	democrat	an interview on Fox
__FALSE__2 , 	A precinct in the Allen West-Patrick Murphy recount has 7 registered voters in Guatemalan community and the tally showed 900 voted!!!!!	elections	facebook-posts	Social media posting		none	a post on Facebook
__FALSE__2 , 	Local law enforcement . . . will have access to the [Obamacare] Data Hubs treasure trove of personal info.	criminal-justice,health-care,legal-issues,privacy	evan-feinberg	President, Generation Opportunity	Washington, D.C.	activist	a Providence Journal commentary
__FALSE__2 , 	Terry McAuliffe wants to raise your taxes $1,700 to pay for his infinite promises.	education,state-budget,taxes	ken-cuccinelli	Attorney General	Virginia	republican	a debate.
__FALSE__2 , 	The top 1 percent pay over half of the entire revenue for this country.	taxes	trent-franks	U.S. Representative	Arizona	republican	an interview on MSNBC's 'The Dylan Ratigan Show'
__FALSE__2 , 	Says he never said he would keep education funding the same.	education,state-budget	rick-scott	Governor	Florida	republican	talking about his budget proposal.
__FALSE__2 , 	(Palin) supported right-wing extremist Pat Buchanan for president in 2000.	israel	moveon			democrat	an e-mail.
__FALSE__2 , 	While fighting a move to toughen penalties for workplace gender discrimination, state Sen. Glenn Grothman said he didnt believe women belonged in the workplace but belonged at home, cooking and cleaning and having babies.	jobs,legal-issues,women	christine-sinicki	State Representative 20th District	Wisconsin	democrat	a legislative floor speech
__FALSE__2 , 	If you put the $47 billion in revenue (raised over 10 years by the Buffett rule) into infrastructure you could create 611,000 infrastructure jobs.	economy,federal-budget,jobs,transportation	sheldon-whitehouse	U.S. Senator	Rhode Island	democrat	a speech on the floor of the U.S. Senate
__FALSE__2 , 	On using the Strategic Petroleum Reserve.	energy	barack-obama	President	Illinois	democrat	
__FALSE__2 , 	Upwards of 90 percent of women seeking an abortion decide not to have an abortion after seeing an ultrasound.	abortion,children,families,health-care,women	rachel-campos-duffy			none	an interview
__FALSE__2 , 	Jason Kander supports [Obamas] plan to bring the remaining suspected terrorists to U.S. soil.	terrorism	roy-blunt	Senator	Missouri	republican	a petition against President Obamas plan to close Guantanamo Bay
__FALSE__2 , 	74 percent of Republicans support the Affordable Care Act.	health-care,polls	donna-edwards	U.S. House of Representatives	Maryland	democrat	a roundtable discussion on CNN's "State of the Union"
__FALSE__2 , 	Says Alex Sink failed Florida homeowners by using predatory lending practices.	corporations	republican-party-florida			republican	a YouTube video
__FALSE__2 , 	Hillary Clinton supports unlimited abortion on demand up until the moment of birth, including partial-birth abortion, with taxpayer funding.	abortion	ted-cruz	Senator	Texas	republican	responding to an audience member's question at the Texas Tribune Festival.
__FALSE__2 , 	Most young Americans right now, theyre not covered by health insurance.	health-care	barack-obama	President	Illinois	democrat	a Funnyordie.com "Between Two Ferns" interview with Zach Galifianakis
__FALSE__2 , 	Cell phone numbers go public this month.	consumer-safety	ken-legler	State House representative	Texas	republican	Facebook and Twitter posts
__FALSE__2 , 	Clackamas County Commissioners approved a re-negotiated agreement to lower the countys contribution to TriMets Portland-Milwaukie Light Rail project to $19.9 million from $25 million.	county-budget,county-government,debt,transportation	clackamas-county-commission			none	a press release
__FALSE__2 , 	The Obama administration is unwinding our nations welfare-to-work requirements.	welfare	bob-mcdonnell	Governor	Virginia	republican	an op-ed.
__FALSE__2 , 	If black America were a country, itd be the 15th wealthiest nation in the world.	corrections-and-updates,economy,poverty	larry-elder	Radio talk show host		talk-show-host	comments on CNN
__FALSE__2 , 	Says Congressman Bill Pascrell voted to remove the public option from the Affordable Health Care Act.	health-care	steve-rothman			democrat	an interview on NJToday
__FALSE__2 , 	Jorge Elorza wants to impose a municipal income tax.	city-budget,deficit,economy,taxes	vincent-buddy-cianci		Rhode Island	independent	a radio interview
__FALSE__2 , 	Massachusetts public schools teach kids as young as kindergartners about gay marriage.	families,gays-and-lesbians,marriage,religion	national-organization-marriage	Nonprofit organization	Rhode Island	organization	a mailing to Rhode Island voters
__FALSE__2 , 	SaysRand Paulhas put out budgets to cut the military in half.	federal-budget,military	adam-kinzinger	U.S. Representative	Illinois	republican	comments on ABC's "This Week"
__FALSE__2 , 	The fundraising numbers are in, and our grassroots support is unmatched!	campaign-finance,elections	glenn-grothman	State Senator, 20th District	Wisconsin	republican	in a Facebook posting
__FALSE__2 , 	Its gotten to a point where the average federal worker makes twice as much as the average private sector worker.	economy,federal-budget,government-efficiency	john-boehner	Speaker of the House of Representatives	Ohio	republican	a news conference
__FALSE__2 , 	These 15 political appointees (on the IPAB) will make all the major health care decisions for over 300 million Americans.	health-care,new-hampshire-2012,abc-news-week	michele-bachmann	Congresswoman	Minnesota	republican	a debate in New Hampshire
__FALSE__2 , 	ISIS camp a few miles from Texas, Mexican authorities confirm.	immigration,military,terrorism	judicial-watch			organization	a web item
__FALSE__2 , 	New federal projections estimate that the health care overhaul will cost $1.76 trillion over 10 years -- well above the $940 billion Democrats originally claimed.	health-care	tom-price	Congressman	Georgia	republican	a press release
__FALSE__2 , 	Social Security is indeed a Ponzi scheme.	social-security	rick-perry	Governor	Texas	republican	an interview.
__FALSE__2 , 	The omnibus bill has only $3.8 billion in earmarks.	federal-budget	democratic-congressional-leadership			democrat	statements to reporters.
__FALSE__2 , 	Says Kay Bailey Hutchison voted for sanctuary cities.	immigration	rick-perry	Governor	Texas	republican	a debate.
__FALSE__2 , 	John wasn't this raging populist four years ago when he ran for president.	job-accomplishments	barack-obama	President	Illinois	democrat	Chariton, Iowa
__FALSE__2 , 	Says no one from the Bush family attended the 2012 Republican National Convention and there was no President Bush at the 2008 convention.	elections	reince-priebus	Chairman, Republican National Committee	Wisconsin	republican	an interview on "Meet the Press"
__FALSE__2 , 	(Texas Republicans) believe in abolishing Social Security, abolishing V.A. health care.	social-security,veterans	bernie-s	U.S. Senator	Vermont	independent	an MSNBC interview
__FALSE__2 , 	In the case of General Motors, the (Bush) administration wrote a check without asking for any conditions of change.	corporations,financial-regulation,market-regulation,abc-news-week,transportation	rahm-emanuel	Mayor of Chicago	Illinois	democrat	an interview on "This Week."
__FALSE__2 , 	When President, then candidate, Obama was asked to disclose some of his donors because there was suspicion of their being the foreign source of money into his campaign, they refused to do it.	campaign-finance,transparency	michael-steele	chairman of the Republican National Committee	Maryland	republican	an interview on NBC's "Meet the Press"
__FALSE__2 , 	Oregon is the only state out of the 50 states in the USA that continues to pay 100% of the medical benefits for its employees and their families.	health-care,state-budget	dennis-richardson	state representative	Oregon	republican	a newsletter
__FALSE__2 , 	You wonder why you dont see Rand Paul as much; hes still shopping for his billionaire. Hes like the only one who hasnt found a billionaire to fund his super PAC.	campaign-finance	claire-mccaskill	U.S. Senator	Missouri	democrat	comments to HBO host Bill Maher
__FALSE__2 , 	The Mitchell Park Domes lose about $1 million-plus every year and the number of people going to the Domes has been going down.	county-budget	chris-abele	Philanthropist	Wisconsin	none	an interview
